"Calle, avenida, andador, carretera, manzana u otro",Número exterior o km,"Colonia, fraccionamiento, unidad habitacional o barrio",Código postal
ANTIGUO CAMINO LA HUERTA,1,CAMPESTRE DEL VERGEL,58194
PADRE DE LA PATRIA,SN,FRACCIONAMIENTO NICOLAITAS ILUSTRES,58149
ARAGON,SN,LA CALERA,58195
GUSTAVO A. MADERO,308,COLONIA OBRERA,58130
MICHOACAN,SN,FRACCIONAMIENTO TRES PUENTES,58150
RAMON LOPEZ VELARDE,11,SANTA MARIA DE GUIDO,58090
ACUEDUCTO,1896,COLONIA CHAPULTEPEC NORTE,58260
HOLANDA,376,VILLA UNIVERSIDAD,58060
IGNACIO ALDAMA,274,COLONIA VIVEROS,58087
GARDENIA,90,LAS FLORES,58160
RIO AMATLAN,422,COLONIA VENTURA PUENTE,58020
ACUEDUCTO,563,COLONIA VASCO DE QUIROGA,58230
PERIFERICO NUEVA ESPAÑA,3233,FRACCIONAMIENTO LAS AMERICAS,58270
GARCIA DE LEON,536,NUEVA CHAPULTEPEC SUR,58280
MANANTIAL LOS AZUFRES,156,COLONIA LOS MANANTIALES,58188
TEHPACUA,189,COLONIA BOSQUE CAMELINAS,58290
MARIANO TERCERO,199,FRACCIONAMIENTO TORREMOLINOS,58197
TLATELOLCO,237,GUADALUPE,58140
UNIVERSIDAD,2021,FRACCIONAMIENTO LOS PINOS,58057
PROFESORA MARIA CONCEPCION SOLIS,178,LOMAS DE HIDALGO,58240
GANADERÍA DEL ROCIO,65,FRACCIONAMIENTO JARDINES DEL TOREO,58049
MANUEL VILLALONGIN,222,FRACC. MANUEL VILLALONGIN,58336
BATALLA DE LAS CRUCES,11,MARIANO JIMENEZ,58050
ANTONIO BELAN,40,COLONIA ARBOLEDAS VALLADOLID,58337
PASEO DEL OYAMEL,162,PRADOS VERDES,58110
GRITO DE INDEPENDENCIA,42,LIBERTAD,58178
MELON,330,FRACCIONAMIENTO LA HUERTA,58080
FRANCISCO I. MADERO ORIENTE,5714,CIUDAD INDUSTRIAL AMPLIACION SUR,58200
FRANCISCO I. MADERO ORIENTE,1939,PRIMO TAPIA,58210
OBISPO DEL ACUEDUCTO,408,FRAY ANTONIO DE SAN MIGUEL,58277
VALLE DE ZAMORA,31,FRACCIONAMIENTO VALLE QUIETO,58069
VALLE DE GUAYANGAREO,44,COLONIA VALLE QUIETO,58066
TRATADO DE ACAPULCO,53,TRINCHERA DE MORELOS,58096
PROFESOR JOSE ROMERO FLORES,431,COLONIA FELICITAS DEL RIO,58040
FRANCISCO I. MADERO ORIENTE,4780,EJIDAL ISAAC ARRIAGA,58217
FRANCISCO I. MADERO PONIENTE,3900,LA QUEMADA,58146
CEDRO,152,FRACC. LOS ANGELES,58100
SALTA PARED,60 A,AMPLIACION TORREON NUEVO,58116
LAGO DE CAMECUARO,899,COLONIA VENTURA PUENTE,58026
PIRERI,22,FRACC-XAMGARI,58089
TABACHIN,133,NUEVA JACARANDAS,58099
MORELOS NORTE,3846,COLONIA LA SOLEDAD,58118
PERIFERICO REPUBLICA,3001,LAGO 1,58115
FUENTE DEL GALLO,26,COLONIA FUENTES DE MORELIA,58088
FRAY FRANCISCO JAVIER ALEGRE,386,COLONIA LAZARO CARDENAS,58229
PERIFERICO NUEVA ESPAÑA,839,COLONIA FELIX IRETA,58401
LORENZO BOTURINI,126,COLONIA IZAC ARRIAGA 2,58226
HERNANDO GUTIERREZ BOCANEGRA,197,COLONIA FRAY ANTONIO DE LISBOA,58254
EL ZAPATISTA,448,COLONIA JESUS ROMERO FLORES,58128
FRAY JUAN BAUTISTA LAGUNAS,219,COLONIA EJIDAL OCOLUSEN,58295
FRAY. SEBASTIAN DE APARICIO,207,BUENA VISTA,58228
PERIFERICO REPUBLICA,4340,FRACCIONAMIENTO NICOLAITAS ILUSTRES,58147
TIMOTEO GUERRERO,68,COLONIA CONGRESO CONSTITUYENTE DE MICHOACAN,58219
DEL SOL,46,ADOLFO LOPEZ MATEOS,58180
PERIODISMO / JOSE TOCAVEN LAVIN,1483 A,SIN NOMBRE,91234
GENERAL JOSÉ MARÍA ROJO,188,FRACCIONAMIENTO JARDINES DEL QUINCEI,58114
CAPITÁN CARLOS ROVIROSA,935,COLONIA JARDINES DE GUADALUPE,58148
TENIENTE CORONEL FELIPE PARAMO,SN,COLONIA ELIAS PEREZ AVALOZ,58218
23 DE OCTUBRE DE 1904,26 A,FRACCIONAMIENTO EL MIRADOR DEL QUINCEO,58330
HOMERO,625,PASEO DE LAS LOMAS,58257
MIGUEL DE RIVERA,431,18 DE MAYO,58258
FRANCISCO I. MADERO PONIENTE,SN,COLONIA GRANJAS UNIDAS,58348
PRESIDENTE ADOLFO LOPEZ MATEOS,SN,COLONIA ADOLFO LOPEZ MATEOS,50180
BOCAMELIA,56,COLONIA EDUARDO RUIZ,58142
GUILLERMO PRIETO,1290 A,COLONIA GRANGAS DEL MAESTRO,58510
LA JOYA / JOSE TRINIDAD GUIDO,843,COLONIA COLINAS DEL SUR,58095
FUENTES DE MORELIA,180,AV.FUENTES DE MORELIA,50800
GARCÍA OBESO,984,VENTURA PUENTE,58220
LA PAZ,220,MORELOS,58030
LOMA BOLIVIANA,60,LUIS CORDOBA REYES LOMA COLORADA,58880
JOAQUÍN M. DEL CASTILLO,121 A,MIRADOR DEL PUNHUATO,58249
CADETE SALAZAR,109,COLONIA CARLOS SALAZAR,58158
HOSPITAL DE CHARO,42,HOSPITALES DE DON VASCO,58255
MARIANO SANCHEZ ARRIOLA,61,JAUJILLA,58179
BENEMERITO DE YUCATAN,189A,FELIPE CARRILLO PUERTO,58127
RIO CUPATITZIO,1475,COLONIA UNIDOS SANTA CRUZ,58248
JOSÉ MARÍA IZAZAGA,572,EJIDAL 3 PUENTES,58175
CIPRES,13,ZIMPANIO NORTE,58341
FRAY MARCOS RAMIREZ DE PRADO,248,COLONIA EJIDAL OCOLUSEN,48295
VALENTIN GOMEZ FARIAS,114,COLONIA SOLIDARIDAD,57115
REY TIZOC,176,COLONIA PASCUAL ARTIZ DE AYALA,58250
PAÑOLANDA,22,EL PORVENIR,58168
TAYACATA,73,XANGARI,57089
LUIS GUTIERREZ CORREA,12,JAVIER MINA,50140
JUAN DE LA BARRERA,852B,COLONIA NIÃ`OS HEROES,58011
ANTONIO DE SAAVEDRA 16VO. ALCALDE MAYOR,936,BUENA VISTA,58028
JUAN ÁLVAREZ,165 B,COLONIA GRANJAS DEL MAESTRO,58580
JUAREZ,400 A,JUAREZ,50810
CAMPECHE,32,MOLINO DE PARRAS,5801
MANUEL VILLASEÑOR,36,INFONAVIT LOMAS DE HIDALGO,58244
URANO,259,LOMAS DE PUNGUATO,58256
NUEZ,63,COLONIA VISTA HERMOSA,58187
CERRO DE VILLACHUATO,548,COLONIA LOMAS DEL TECNOLOGICO,58117
MARIANO MICHELENA,103,ZONA CENTRO,5825
LICENCIADO JESUS RAMIREZ MENDOZA,415,PRIMO TAPIA ORIENTE,20289
GENERAL GORDIANO GUZMÁN,148,INFONAVIT LA QUEMADA,50170
TIERRA,SN,COLONIA SATELITE,58300
ERENDIRA,273,VISTA BELLA,28090
REY TEZOZOMOC,111,COLONIA PASCUAL ORTIZ AYALA,52250
MANANTIALES DE MORELIA,281,CAMPESTRE LOS MANANTIALES,58186
LA JOYA / JOSE TRINIDAD GUIDO,946,COLINAS DEL SUR,55809
ANTONIO ANCONA ALBERTO,97,COLONIA FELIPE CARRILLO PUERTO,58121
CURTIDORES DE TEREMENDO,897,BUENA VISTA,58241
DEL VIVERO,387,SIN NOMBRE,58196
RIO CUPATITZIO,1833,COLONIA JARDINES DE SANTIAGUITO,58111
CAPITÁN CARLOS PANINI,13 A,WENCESLAO VICTORIA SOTO,58410
SOLIDARIDAD,1057,FELISITAS DEL RIO,38040
FRAY. SEBASTIAN DE APARICIO,444,NUEVA UNION,28210
NUEVA TEPEYAC,344,SAN RAFAEL,58832
RIO CUPATITZIO,399,FRACCIONAMIENTO IGNACIO RAMIREZ,58113
